Name of the Plant,Family,Common Name,Link
Leea crispa  L.,LEEACEAE,Banchalita (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003391&column=szBarcode
Leea indica  (Burm.f.) Merr.,LEEACEAE,Kukur-jihwa,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003389&column=szBarcode
Leea macrophylla  Roxb. ex Hornem.,LEEACEAE,Dholsamudra,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003392&column=szBarcode
Lens culinaris  Medik.,FABACEAE,"Masur, Masser",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003411&column=szBarcode
Leonotis nepetaiefolia  R.Br.,LAMIACEAE,Hejurchei,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008727&column=szBarcode
Leonurus cardiaca  L.,LAMIACEAE,Common Motherwort (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008650&column=szBarcode
Leonurus sibiricus  L.,LAMIACEAE,Halkusha,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008648&column=szBarcode
Lepidagathis cristata  Willd.,ACANTHACEAE,Bhuiterada (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013327&column=szBarcode
Lepidagathis hamiltoniana  Wall.,ACANTHACEAE,Agnikhair (Mundari),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013325&column=szBarcode
Lepidagathis incurva  Buch.-Ham. ex D.Don,ACANTHACEAE,Vangvattur (Mizoram),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013323&column=szBarcode
Lepidagathis trinervis  Nees,ACANTHACEAE,Harancharo (Guj.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013305&column=szBarcode
Lepidium iberis  L.,BRASSICACEAE,Safed towdri,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013862&column=szBarcode
Lepidium latifolium  L.,BRASSICACEAE,Gonyuch (Ladhak),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013866&column=szBarcode
Lepidium sativum  L.,BRASSICACEAE,"Halim, Harf",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013867&column=szBarcode
Leptadenia reticulata  (Retz.) Wight & Arn.,ASCLEPIADACEAE,Dodi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009477&column=szBarcode
Leucaena glauca  (L.) Benth.,MIMOSACEAE,Lasobaval (Guj.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003460&column=szBarcode
Leucas aspera  (Willd.) Link,LAMIACEAE,Safed Halkusa,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008725&column=szBarcode
Leucas cephalotus  (Roth.) Spreng.,LAMIACEAE,"Dhurpi sag, Deldona",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013343&column=szBarcode
Leucas lavandulifolia  Sm.,LAMIACEAE,"Guma, Halkusa",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008718&column=szBarcode
Leucas stelligera  Wall.,LAMIACEAE,Barumbi (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013345&column=szBarcode
Leucas zeylanica  R.Br.,LAMIACEAE,Mudittumbei (Ceylon),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008723&column=szBarcode
Licuala spinosa  Wurmb.,ARECACEAE,Jungli selai,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000002946&column=szBarcode
Lilium giganteum  Wall.,LILIACEAE,Jaunsar-Giotra,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000002958&column=szBarcode
Lilium martagon  L.,LILIACEAE,Turk's Cap Lily (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013138&column=szBarcode
Lilium tigrinum  Ker Gawl.,LILIACEAE,Tiger Lily (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013137&column=szBarcode
Lilium wallichianum  Schult.f.,LILIACEAE,Findora,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013139&column=szBarcode
Limnophila aromatica  (Lam.) Merr.,SCROPHULARIACEAE,Kuttra,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013258&column=szBarcode
Limnophila indica  (L.) Druce,SCROPHULARIACEAE,Kuttra,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013264&column=szBarcode
Limnophila rugosa  (Roth) Merr.,SCROPHULARIACEAE,Kala karpur (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013257&column=szBarcode
Limonia acidissima  L.,RUTACEAE,"Kavat, Kadbel (Beng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013490&column=szBarcode
Lindera caudata  Benth.,LAURACEAE,Dieng-soh-orthai-dieng-brau-salu(Khasi Hills),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009149&column=szBarcode
Lindera neesiana  (Nees) Kurz,LAURACEAE,Siltimur (Nepal),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009151&column=szBarcode
Linderbergia indica  (L.) Vatke,SCROPHULARIACEAE,Haldi basanto (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013266&column=szBarcode
Lindernia anagallis  (Burm.f.) Pennell,SCROPHULARIACEAE,Gadagvel (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008762&column=szBarcode
Lindernia crustacea  (L.) F.Muell.,SCROPHULARIACEAE,Malaysian false pimpernel (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008769&column=szBarcode
Lindernia oppositifolia  (Retz.) Mukerjee,SCROPHULARIACEAE,Hendegel ba (Mundari),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008767&column=szBarcode
Lindernia procumbens  (Krock.) Philcox,SCROPHULARIACEAE,Vakapushpi (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008764&column=szBarcode
Lindernia ruelloides  (Colsm.) Mukherjee,SCROPHULARIACEAE,Sam-tham-lang (Garo),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008766&column=szBarcode
Linum usitatissimum  L.,LINACEAE,"Tisi, Alsi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013824&column=szBarcode
Liriodendron tulipifera  L.,MAGNOLIACEAE,Yellow popler (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013910&column=szBarcode
Litchi chinensis  Sonn.,SAPINDACEAE,Lichi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003386&column=szBarcode
Lithospermum arvensis  L.,BORAGINACEAE,Corn Gromwell,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009140&column=szBarcode
Lithospermum officinale  L.,BORAGINACEAE,Gromwell,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009139&column=szBarcode
Litsea cubeba  (Lour.) Pers.,LAURACEAE,Mejankeri (Assam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009157&column=szBarcode
Litsea lancifolia  Hook.f.,LAURACEAE,Kali Pahenle (Nepal),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009148&column=szBarcode
Litsea monopetala  (Roxb.) Pers.,LAURACEAE,"Meda, Katmarra",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009147&column=szBarcode
Litsea stocksii  Hook.f.,LAURACEAE,"Pisi, Posha (Mar.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009156&column=szBarcode
Lobelia inflata  L.,LOBELIACEAE,Puke weed (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009655&column=szBarcode
Lobelia leschenaultiana  (Presl.) Skottsh.,LOBELIACEAE,Kadu hogesoppu (Kan.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009540&column=szBarcode
Lobelia nicotianifolia  Roth ex Roem. & Schult.,LOBELIACEAE,"Nala, Narasala",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009534&column=szBarcode
Lobelia pyramidalis  Wall.,LOBELIACEAE,Berawchal (Lushai),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009526&column=szBarcode
Lolium temulentum  L.,POACEAE,Mochni,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013132&column=szBarcode
Lonicera japonica  Thunb.,CAPRIFOLIACEAE,Leihruisen (Lushai),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013192&column=szBarcode
Lonicera periclymenum  L.,CAPRIFOLIACEAE,Woodbine Honeysuckle (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013191&column=szBarcode
Lonicera semenovii  Regel.,CAPRIFOLIACEAE,"Shea, Sheva",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009653&column=szBarcode
Loxococcus rupicola  Wendl. & Drude,ARECACEAE,Dothalu (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000002951&column=szBarcode
Ludwigia adscendens  (L.) Hara,ONAGRACEAE,Kesara-dam,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009432&column=szBarcode
Ludwigia octovalvis  (Jacq.) P.H.Raven,ONAGRACEAE,Banlunga,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009434&column=szBarcode
Ludwigia perennis  L.,ONAGRACEAE,"Sukuri pota, Gara sirgiti (Mundari)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009435&column=szBarcode
Ludwigia prostrata  Roxb.,ONAGRACEAE,Huring Rangaini (Mundari),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009433&column=szBarcode
Luffa acutangula  (L.) Roxb.,CUCURBITACEAE,"Kali tori, Jhinga tori",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009413&column=szBarcode
Luffa cylindrica(L.)  M.Roem.,CUCURBITACEAE,Ghiya tori,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009411&column=szBarcode
Luffa echinata  Roxb.,CUCURBITACEAE,Bindal,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009415&column=szBarcode
Luisia tenuifolia  Blume,CUCURBITACEAE,Amb-keli (Marathi),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000002974&column=szBarcode
Lumnitzera racemosa  Willd.,COMBRETACEAE,Kripa (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009553&column=szBarcode
Lupinus albus  L.,FABACEAE,Turmas,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013062&column=szBarcode
Lupinus angustifolius  L.,FABACEAE,Blue Lupine (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003293&column=szBarcode
Lupinus luteus  L.,FABACEAE,Yellow Lupine (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003292&column=szBarcode
Luvunga scandens  (Roxb.) Buch.-Ham. ex Wight,RUTACEAE,Kakoli (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009830&column=szBarcode
Lychnis coronaria  (L.) Desr.,CARYOPHYLLACEAE,Rose Campion (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013964&column=szBarcode
Lycium barbarum  L.,SOLANACEAE,Gangro (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009185&column=szBarcode
Lycopodium cernuum  L.,LYCOPODIACEAE,Kangrem (Lushai),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008562&column=szBarcode
Lycopodium clavatum  L.,LYCOPODIACEAE,Bendarli (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008564&column=szBarcode
Lycopus europaeus  L.,LAMIACEAE,"Jalnim, Gandamgundu (Kashmir & Punjab)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008706&column=szBarcode
Lygodium flexuosum  (L.) Sw.,LYGODIACEAE,Bhut-raj (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008554&column=szBarcode
Lygodium japonicum  (Thunb.) Sw.,LYGODIACEAE,Japanese climbing fern (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008551&column=szBarcode
Lygodium microphyllum  (Cav.) R.Br.,LYGODIACEAE,Curalvallipanna (Mal.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008552&column=szBarcode
Lyonia ovalifolia  (Wall.) Drude,LYGODIACEAE,Angeri (Nepali),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013546&column=szBarcode
Macaranga denticulata  (Blume) Muell.-Arg.,PROTEACEAE,Burna (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008770&column=szBarcode
Macaranga indica  Wight,EUPHORBIACEAE,Uppila (Mal.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008772&column=szBarcode
Macaranga peltata  (Roxb.) Muell.-Arg.,EUPHORBIACEAE,Chanda (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008774&column=szBarcode
Madhuca butyracea  (Roxb.) J.F.Macbr.,MORACEAE,Phulvara,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013553&column=szBarcode
Madhuca longifolia  (Koen.) Macbride,SAPOTACEAE,South Indian Mahua (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013556&column=szBarcode
Magnolia grandifolia  L.,CAPPARACEAE,"Andachampa, Him champa",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013909&column=szBarcode
Mahonia borealis  Takeda,BERBERIDACEAE,Pualeng (Lushai),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003780&column=szBarcode
Mahonia sikkimensis  Takeda,BERBERIDACEAE,Chatri (Nepal),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000004776&column=szBarcode
Majorana hortensis  Moench.,BERBERIDACEAE,Murwa,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008709&column=szBarcode
Malachra capitata  L.,LAMIACEAE,Banbhindi (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013839&column=szBarcode
Mallotus philippensis  (Lam.) Muell.Arg.,EUPHORBIACEAE,"Kamala, Sindur",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008801&column=szBarcode
Malpighia glabra  L.,MALPIGHIACEAE,Barbados Cherry (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013820&column=szBarcode
Malpighia punicifolia  L.,MALPIGHIACEAE,Vallari (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013818&column=szBarcode
Malus pumila  Mill.,MALPIGHIACEAE,"Seb, Sev",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013075&column=szBarcode
Malus sylvestris  Mill.,ROSACEAE,"Gulkhair, Kunzi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009639&column=szBarcode
Malva parvifolia  L.,ROSACEAE,Panirak,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013831&column=szBarcode
Malva rotundifolia  L.,MALVACEAE,Khubasi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013830&column=szBarcode
Malva sylvestris  L.,MALVACEAE,"Gulkhair, Kunzi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013829&column=szBarcode
Malva verticillata  L.,MALVACEAE,"Lapha, Napha (Beng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013832&column=szBarcode
Malvastrum coromandelianum  (L.) Garcke,MALVACEAE,"Kharenti, Chandiri (Mar.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013827&column=szBarcode
Mandragora officinarum  L.,CLUSIACEAE,Luckmuna (Hindi),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009138&column=szBarcode
Mangifera indica  L.,ANACARDIACEAE,"Am, Amb",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003452&column=szBarcode
Manihot esculenta  Crantz.,EUPHORBIACEAE,Karrapendalamu (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008806&column=szBarcode
Manilkara hexandra  (Roxb.) Dubard,EUPHORBIACEAE,Khirni,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013538&column=szBarcode
Manilkara kauki  (L.) Dubard,SAPOTACEAE,Khirni,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013536&column=szBarcode
Marrubium vulgare  L.,MARANTACEAE,Paharigandana,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013213&column=szBarcode
Marsdenia roylei  Wight,ASCLEPIADACEAE,Murkula,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009485&column=szBarcode
Marsdenia tenacissima  (Roxb.) Moon,ASCLEPIADACEAE,"Jiti, Chiti",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009484&column=szBarcode
Marsdenia tinctoria  R.Br.,ASCLEPIADACEAE,Riyong (North Bengal),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009481&column=szBarcode
Marsilea minuta  L.,MARSILEACEAE,Susnishak (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008546&column=szBarcode
Matricaria chamomilla  L.,ASTERACEAE,Babunphul,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009337&column=szBarcode
Matthiola incana  (L.) R.Br.,ASTERACEAE,Todri lila (Punjab.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013877&column=szBarcode
Maytenus emarginata  (Willd.) Ding Hou,BRASSICACEAE,Henkal (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003371&column=szBarcode
Measa chisia  Ham. ex D.Don,CELASTRACEAE,Susi-poma (Assamese),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009551&column=szBarcode
Measa indica  (Roxb.) DC.,MYRSINACEAE,Kramighna Phal,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009550&column=szBarcode
Measa ramentacea  Wall.,MYRSINACEAE,Seketia (Assamese),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009549&column=szBarcode
Medicago sativa  L.,FABACEAE,"Wilayti-gawuth, Lasunghas",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003420&column=szBarcode
Melanorrhoea usiata  Wall.,ANACARDIACEAE,Kheu (Manipur),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008586&column=szBarcode
Melastoma malabathricum  L.,MELASTOMATACEAE,Palore (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013506&column=szBarcode
Melia azedarach  L.,MELIACEAE,"Drek, Bakain",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008601&column=szBarcode
Melilotus alba  Medik. ex Desr.,FABACEAE,Safed Senji,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003361&column=szBarcode
Melilotus indica  (L.) All.,FABACEAE,Banmethi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003362&column=szBarcode
Melilotus officinalis  (L.) Medik. ex Desr.,FABACEAE,Yellow Sweetclover (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003360&column=szBarcode
Melissa axillaris  (Benth.) Bakh.f.,LAMIACEAE,Bililotan,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013249&column=szBarcode
Melochia corchorifolia  L.,STERCULIACEAE,Bilpat,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013934&column=szBarcode
Melodinus monogynus  Roxb.,APOCYNACEAE,Soh-brab (Khasi Hills),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009447&column=szBarcode
Melothria amplexicaulis  (Lam.) Cogn.,CUCURBITACEAE,Tarali,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009427&column=szBarcode
Melothria maderaspatana  (L.) Cogn.,CUCURBITACEAE,"Agumaki, Bilari",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009428&column=szBarcode
Melothria scabra  Naudin,CUCURBITACEAE,Varali (Bombay),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009426&column=szBarcode
Memecylon angustifolium  Wight,MELASTOMATACEAE,Vellaikkaya (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009640&column=szBarcode
Memecylon umbellatum  Burm.f.,MELASTOMATACEAE,Anjani (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013503&column=szBarcode
Mentha aquatica  L.,LAMIACEAE,Water Mint (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008694&column=szBarcode
Mentha arvensis  L.,LAMIACEAE,"Podina, Pudina",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008689&column=szBarcode
Mentha longifolia  (L.) Huds.,LAMIACEAE,"Podina, Jungli pudina",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008685&column=szBarcode
Mentha piperita  L.,LAMIACEAE,"Paparaminta, Gamathi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008691&column=szBarcode
Mentha pulegium  L.,LAMIACEAE,Pudding Grass (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008692&column=szBarcode
Mentha sativa  L.,LAMIACEAE,Peppermint (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008702&column=szBarcode
Mentha spicata  L.,LAMIACEAE,"Pahari pudina, Pudina",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008687&column=szBarcode
Mentha verticillata  D.Don,LAMIACEAE,Whorled Mint (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008704&column=szBarcode
Menyanthes trifoliata  L.,MENYANTHACEAE,Bog bean (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009406&column=szBarcode
Meriandra bengalensis  Benth.,LAMIACEAE,Kafurkapat,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013246&column=szBarcode
Meriandra strobilifera  Benth.,LAMIACEAE,Kafurkapat,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013247&column=szBarcode
Merremia dissecta  (Jacq.) Hallier f.,CONVOLVULACEAE,Noyau vine (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000006538&column=szBarcode
Merremia gangetica  (L.) Cufod.,CONVOLVULACEAE,Musakani,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009816&column=szBarcode
Merremia tridentata  (L.) Hallier f.,CONVOLVULACEAE,Prasarini (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009814&column=szBarcode
